title,category,volumes,user_id,id,last_updated,status
The Promised Neverland,Comic,"[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,61,2026-03-22 11:30:47.449747+00,green
พ่อบ้านสุดเก๋า,Comic,"[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""14"", ""15""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,62,2026-03-22 11:30:47.449747+00,yellow
Wotakoi (ยากแท้จริงหนอรักของโอตาคุ),Comic,"[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,63,2026-03-22 11:30:47.449747+00,green
ฉันไม่ชอบทั้งโลก,Comic,"[""1"", ""2""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,64,2026-03-22 11:30:47.449747+00,green
บริษัทรับจ้างทำลายรัก,Comic,"[""1""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,65,2026-03-22 11:30:47.449747+00,red
ประโยคสัญลักษณ์,Comic,"[""1"", ""2""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,66,2026-03-22 11:30:47.449747+00,green
มุนิน,Comic,"[""1"", ""2"", ""3"", ""4"", ""5"", ""6""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,67,2026-03-22 11:30:47.449747+00,green
วันวันของพวกผมก็แบบนี้แหละ,Comic,"[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,69,2026-03-22 11:30:47.449747+00,green
แต่งเอง,Comic,"[""1""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,70,2026-03-22 11:30:47.449747+00,green
คิวบิค,EBook,"[""1"", ""2"", ""3"", ""4""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,71,2026-03-22 11:30:47.449747+00,green
สิงสาลาตาย,EBook,"[""1""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,72,2026-03-22 11:30:47.449747+00,green
บันทึกคุณเพื่อน,EBook,"[""1""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,73,2026-03-22 11:30:47.449747+00,green
เรื่องบังเอิญ,EBook,"[""1""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,74,2026-03-22 11:30:47.449747+00,green
when i wasjust a litel girl,EBook,"[""1""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,75,2026-03-22 11:30:47.449747+00,green
หนานฮ่าวซ่างเฟิง,Comic,"[""1"", ""2"", ""3""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,76,2026-06-16T06:12:13.081Z,yellow
kaiju no 8,Comic,"[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,1781584514893,2026-08-27T07:05:43.421Z,green
คดีลับใต้หมู่ดาว,Novel,"[""1"", ""2"", ""3""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,1787815424077,2026-08-27T07:34:29.108Z,green
Shugo-Chara! คาแรคเตอร์ผู้พิทักษ์!,Comic,"[""01_01"", ""01_02"", ""01_03"", ""01_04"", ""01_05"", ""01_06"", ""01_07"", ""01_08"", ""01_09"", ""01_10"", ""01_11"", ""01_12"", ""02_01"", ""02_02""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,1787818079220,2026-08-27T08:09:21.596Z,yellow
ลุ้นรักฉบับคู่ต่างขั้ว,Comic,"[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,1787818269953,2026-08-27T08:11:27.116Z,green
เฟื่องนคร,Novel,"[""1""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,1787818384549,2026-08-27T08:13:14.261Z,green
ทำนายทายทัพ,Novel,"[""1""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,1787818470772,2026-08-27T08:14:59.814Z,green
ความรักทำมุมสององศา,Novel,"[""1""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,1787818488758,2026-08-27T08:14:53.803Z,green
เขมจิราต้องรอด,Novel,"[""1""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,1787818527702,2026-08-27T08:15:35.191Z,green
